Company_Name,Date_of_leak,Date_of_attack,Company_URL,Company_Country,Company_Address,Industry_Type,"Company_Description (Important ones, interesting ones)","Notes, and Interesting things",Data_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
Twai,27/6/2023,21/6/2023,www.twai.com,United States," Southfield, Michigan",IT Services and IT Consulting,,,"Private and personal confidential data, clients and employee documents, passports, tax and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Pacte Novation,27/6/2023,21/6/2023,www.pactenovation.fr,France,ISSY LES MOULINEAUX,IT Services and IT Consulting,,projects from a software engineering company in france,"Private and personal confidential data, clients and employee documents, passports, projects, fincane, tax and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Dameron Alloy Foundries,28/6/2023,21/6/2023,www.dameron.net,United States,"Compton, California",Mining,,"projects 
Description:
metal parts 
15 years of asia manufacturing experience","Private and personal confidential data, clients and employee documents, passports, projects, ssn, IDs, finance, tax and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Mesa Cold Storage,27/6/2023,21/6/2023,www.mesacold.com,United States,"Tolleson, Arizona",Transportation comma Logistics comma Supply Chain and Storage,,,"Private and personal confidential data, clients and employee documents, passports, finance, tax and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Salins Group,27/6/2023,21/6/2023,www.salins.com,France," Clichy, France",Mining,,,"Private and personal confidential data, clients and employee documents, hr, passports, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Novasoft,27/6/2023,21/6/2023,www.novasoft.at,Dubai,Dubai,IT Services and IT Consulting,,projects,"Private and personal confidential data, clients and employee documents, projects and etc.",1,0,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Nubus,27/6/2023,21/6/2023,www.nubus.be,United States," Schaumburg, USA",IT Services and IT Consulting,,technical documents from a Information Technology and Services Industry,"Private and personal confidential data, clients and employee documents, finance, technical documentation and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Shows & Artists,11/6/2023,2/6/2023,www.shows-artists.com,Germany,Germany,Events Services,,,"Private and personal confidential data, clients and employee documents, finance, hr and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
NORANET - CZ,11/6/2023,2/6/2023,www.noranet.cz,Czech Republic,"Prague, Czechia",Telecommunications,,,"Private and personal confidential data, clients and employee documents, contracts and etc.",1,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Abeko,11/6/2023,2/6/2023,www.abeko.nl,Netherlands,"Beverwijk, Netherlands",Civil Engineering,,,"Private and personal confidential data, clients and employee documents, contracts, hr and etc.",1,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0
